,distance_stream_downstream
1256,37080.477
1257,37131.082
1258,37644.816
1259,38128.637
1260,38501.742
1261,38340.504
1262,38289.895
1263,38239.285
1264,38501.754
1265,38451.15
1266,38501.754
1267,39015.504
1268,39066.11
1269,39227.355
1270,40869.805
1271,40356.07
1272,40305.465
1273,40356.07
1274,40517.31
1275,40678.547
1276,41192.28
1277,16618.465
1278,16457.227
1279,16054.129
1280,15892.878
1281,15842.268
1282,15892.878
1283,16054.123
1284,16033.396
1285,15872.151
1286,15358.413
1287,15307.803
1288,15358.413
1289,15872.151
1290,15358.421
1291,15307.811
1292,15358.421
1293,15409.034
1294,15127.291
1295,14966.046
1296,14915.436
1297,15429.167
1298,14915.429
1299,14864.818
1300,14915.429
1301,15468.184
1302,15306.938
1303,14903.828
1304,14742.584
1305,14581.339
1306,14420.095
1307,14258.85
1308,14097.605
1309,13936.36
1310,14097.605
1311,13936.356
1312,13986.971
1313,13936.36
1314,13986.971
1315,13291.108
1316,13129.87
1317,12726.767
1318,12565.521
1319,12514.911
1320,12565.521
1321,12514.908
1322,12676.152
1323,12514.911
1324,12565.521
1325,12726.767
1326,13129.87
1327,11839.761
1328,11678.516
1329,11627.905
1330,11678.516
1331,12192.257
1332,12353.496
1333,12514.74
1334,12675.985
1335,12837.2295
1336,12998.475
1337,13401.578
1338,11254.638
1339,11305.251
1340,11254.641
1341,11305.251
1342,11818.989
1343,11830.6875
1344,11780.077
1345,11830.6875
1346,11991.932
1347,12395.035
1348,12556.274
1349,11840.102
1350,11789.491
1351,11840.102
1352,16185.571
1353,16024.333
1354,15621.2295
1355,15459.991
1356,15056.888
1357,14895.643
1358,14734.392
1359,14683.781
1360,14734.392
1361,14895.637
1362,14522.518
1363,14683.763
1364,14845.007
1365,15248.111
1366,15409.35
1367,15570.595
1368,15731.839
1369,15893.084
1370,20421.041
1371,20259.791
1372,20098.541
1373,20047.93
1374,22687.785
1375,22637.178
1376,22687.785
1377,22526.553
1378,19453.514
1379,21881.621
1380,21831.016
1381,21881.621
1382,21156.055
1383,20994.814
1384,20833.576
1385,20430.473
1386,20269.229
1387,20218.617
1388,20269.229
1389,20218.611
1390,20168.0
1391,20218.611
1392,21589.387
1393,21428.143
1394,21266.898
1395,21216.287
1396,21266.898
1397,21216.285
1398,22930.123
1399,22768.879
1400,22255.14
1401,22204.531
1402,22255.14
1403,22416.385
1404,22577.63
1405,22416.41
1406,22365.799
1407,22628.283
1408,22577.674
1409,23655.828
1410,23605.219
1411,23655.828
1412,23706.45
1413,23757.06
1414,23918.31
1415,24996.48
1416,24945.87
1417,24996.48
1418,25157.725
1419,25319.01
1420,25369.62
1421,25530.863
1422,25692.11
1423,26175.934
1424,26125.322
1425,26175.934
1426,26447.824
1427,26609.076
1428,26659.686
1429,27737.91
1430,27687.3
1431,27737.91
1432,27899.162
1433,28060.406
1434,28463.51
1435,28624.748
1436,28785.988
1437,29622.455
1438,29350.322
1439,31820.006
1440,31416.902
1441,31255.658
1442,31094.406
1443,30933.156
1444,30882.543
1445,30831.932
1446,31094.412
1447,31043.803
1448,31094.412
1449,31820.031
1450,31769.422
1451,31820.031
1452,31981.277
1453,32384.38
1454,32545.62
1455,33381.938
1456,33543.188
1457,33381.94
1458,33543.188
1459,34379.492
1460,34328.88
1461,34379.492
1462,34540.75
1463,35588.88
1464,35427.637
1465,35377.027
1466,35639.508
1467,35588.895
1468,35639.508
1469,35911.406
1470,37413.258
1471,37010.152
1472,36848.91
1473,36798.297
1474,36848.91
1475,37010.16
1476,37846.46
1477,38219.574
1478,38058.33
1479,38007.72
1480,38058.33
1481,38219.582
1482,38380.824
1483,38783.934
1484,38945.18
1485,39106.426
1486,39509.535
1487,40023.285
1488,40073.9
1489,40235.14
1490,40638.246
1491,40799.484
1492,40960.723
1493,41474.453
1494,16497.557
1495,16336.307
1496,15933.202
1497,15771.951
1498,15610.701
1499,15560.087
1500,15610.701
1501,15771.958
1502,15640.598
1503,15237.486
1504,15076.236
1505,15025.622
1506,15076.236
1507,15126.856
1508,15076.243
1509,15126.856
1510,15288.107
1511,15248.224
1512,14845.119
1513,14683.869
1514,14633.251
1515,14582.638
1516,14633.251
1517,14794.502
1518,15589.116
1519,15427.879
1520,15024.762
1521,14863.517
1522,14702.272
1523,14541.027
1524,14027.307
1525,14218.538
1526,13704.793
1527,13654.18
1528,13704.793
1529,13654.18
1530,13704.793
1531,13866.044
1532,12928.516
1533,12979.129
1534,12847.699
1535,12444.595
1536,12283.345
1537,12232.73
1538,12283.345
1539,12797.086
1540,12283.345
1541,12444.595
1542,12847.699
1543,11446.956
1544,11396.338
1545,11345.725
1546,11396.338
1547,11557.589
1548,11960.693
1549,12585.063
1550,12746.308
1551,12796.918
1552,12958.163
1553,13119.407
1554,10972.456
1555,11023.073
1556,10972.46
1557,11023.073
1558,11184.324
1559,12112.871
1560,11709.76
1561,11548.51
1562,11709.76
1563,11548.506
1564,11599.123
1565,11760.38
1566,11608.537
1567,11557.924
1568,11608.537
1569,11557.92
1570,15903.407
1571,15742.169
1572,15339.084
1573,15177.82
1574,14774.716
1575,14613.465
1576,14452.215
1577,14290.958
1578,14240.341
1579,14189.727
1580,14240.341
1581,14965.94
1582,14452.215
1583,15530.288
1584,15691.527
1585,15852.771
1586,15339.141
1587,20300.115
1588,20138.865
1589,19977.613
1590,19816.363
1591,19655.105
1592,19493.85
1593,19332.592
1594,19171.336
1595,19120.723
1596,19171.336
1597,19010.078
1598,18959.46
1599,21276.992
1600,21226.383
1601,20712.65
1602,20551.406
1603,20148.3
1604,19987.05
1605,20148.3
1606,19987.05
1607,19936.434
1608,20097.684
1609,21710.32
1610,21549.076
1611,21145.97
1612,20984.72
1613,20934.107
1614,20984.72
1615,22023.58
1616,22537.318
1617,22134.215
1618,21972.963
1619,21922.35
1620,21972.963
1621,22134.232
1622,22083.62
1623,22134.232
1624,22184.85
1625,22346.107
1626,23424.266
1627,23373.65
1628,23424.266
1629,23474.883
1630,23636.133
1631,23797.385
1632,24764.916
1633,24714.303
1634,24764.916
1635,25036.828
1636,25087.441
1637,25248.693
1638,25651.797
1639,25893.756
1640,25843.143
1641,25893.756
1642,26055.006
1643,26216.258
1644,26377.508
1645,26538.76
1646,27405.12
1647,27455.734
1648,27616.984
1649,27778.234
1650,28181.34
1651,28695.15
1652,29390.89
1653,29340.277
1654,29390.89
1655,29340.273
1656,29925.34
1657,31537.836
1658,31487.225
1659,30973.48
1660,30812.229
1661,30650.979
1662,30600.365
1663,30650.979
1664,30812.236
1665,31325.984
1666,31376.598
1667,31537.854
1668,31699.105
1669,32424.748
1670,32374.135
1671,32424.748
1672,32586.006
1673,33099.76
1674,33150.375
1675,33311.625
1676,34147.926
1677,34097.312
1678,34258.57
1679,34309.184
1680,34470.44
1681,35196.07
1682,35145.457
1683,35196.07
1684,35357.33
1685,35629.23
1686,35790.484
1687,35841.098
