,profile_curvature
1149,-2.5164627e-05
1150,-8.1275066e-05
1151,2.615275e-06
1152,7.087588e-05
1153,8.9728965e-05
1154,8.0167165e-06
1155,-2.0292317e-05
1156,-4.6217643e-05
1157,-0.00012888419
1158,-0.00059357967
1159,-0.09479779
1160,-0.009872523
1161,-0.00031244985
1162,-6.377111e-05
1163,-2.1430227e-05
1164,-8.937846e-06
1165,-2.5942254e-06
1166,6.5520676e-06
1167,3.884067e-05
1168,0.00043303124
1169,0.4278472
1170,0.0008728306
1171,4.37936e-06
1172,-3.2120653e-05
1173,-4.4779954e-05
1174,-2.9213053e-05
1175,4.7768193e-05
1176,9.8144716e-05
1177,2.1974052e-05
1178,8.4235326e-05
1179,0.00016973587
1180,8.997449e-05
1181,5.6424324e-05
1182,3.9347444e-05
1183,2.1356425e-05
1184,9.071495e-06
1185,-3.3208669e-06
1186,-9.042944e-06
1187,-7.970023e-06
1188,-2.2945333e-06
1189,-2.688521e-05
1190,-5.1590003e-05
1191,-6.582119e-05
1192,-6.78568e-05
1193,-6.713726e-05
1194,-7.0088485e-05
1195,-8.756558e-05
1196,-0.00012654637
1197,-0.00027508463
1198,-0.0006131857
1199,-0.0012956994
1200,-0.0063496362
1201,-0.09128026
1202,-0.002097809
1203,-0.00048778838
1204,-0.00025993912
1205,-0.00017845021
1206,-0.00018764663
1207,-0.00019461798
1208,-0.00018387412
1209,-0.00016400243
1210,-0.0001315753
1211,-9.5338175e-05
1212,-7.210965e-05
1213,-5.504277e-05
1214,-4.3243705e-05
1215,-3.3777076e-05
1216,-2.5281066e-05
1217,-1.9955982e-05
1218,-1.6895954e-05
1219,-1.6539567e-05
1220,-1.9042427e-05
1221,-2.1009935e-05
1222,-2.3374902e-05
1223,-2.6300673e-05
1224,-3.1244872e-05
1225,-3.3212073e-05
1226,-4.423854e-05
1227,-6.528278e-05
1228,-9.115823e-05
1229,-0.00012342757
1230,-0.00016651051
1231,-0.00022911225
1232,-0.00042007884
1233,-0.0012237895
1234,-0.016703809
1235,-0.2819599
1236,-0.1874619
1237,-0.020657571
1238,-0.01365327
1239,-0.024417095
1240,-0.03632993
1241,-0.011950803
1242,-0.0062065274
1243,-0.0008075735
1244,-0.0002525243
1245,-9.7251635e-05
1246,-4.0378236e-05
