,TWI_raster
1261,-12.584467
1262,-12.294136
1263,-11.781735
1264,-12.053741
1265,-13.768565
1266,-12.952017
1267,-12.698704
1268,-11.711239
1269,-13.202338
1270,-12.163983
1271,-12.154643
1272,-11.29562
1273,-11.611316
1274,-13.648111
1275,-11.539258
1276,-11.336769
1277,-13.2644
1278,-13.503038
1279,-11.739807
1280,-9.950853
1281,-10.902071
1282,-12.633604
1283,-10.823202
1284,-13.66977
1285,-10.744066
1286,-13.852092
1287,-11.249755
1288,-12.364511
1289,-8.57812
1290,-11.689819
1291,-13.041397
1292,-9.5982685
1293,-14.716105
1294,-14.302016
1295,-15.619231
1296,-13.438544
1297,-10.603023
1298,-8.684566
1299,-14.5570545
1300,-16.81393
1301,-13.400666
1302,-15.205097
1303,-14.229338
1304,-12.021054
1305,-10.9956665
1306,-10.882257
1307,-13.228849
1308,-14.991956
1309,-16.58939
1310,-15.318864
1311,-13.783206
1312,-15.857619
1313,-9.875033
1314,-8.63878
1315,-15.297433
1316,-14.739412
1317,-16.24522
1318,-16.48808
1319,-15.15006
1320,-12.721788
1321,-8.928262
1322,-13.844062
1323,-14.228177
1324,-15.867058
1325,-15.708053
1326,-13.866976
1327,-9.944284
1328,-14.4739485
1329,-15.763245
1330,-14.35399
1331,-13.005275
1332,-11.950912
1333,-11.400197
1334,-11.38428
1335,-13.906209
1336,-13.346828
1337,-12.871122
1338,-9.430962
1339,-10.110781
1340,-12.5404825
1341,-13.669407
1342,-12.262406
1343,-13.628997
1344,-16.00276
1345,-16.058538
1346,-15.972638
1347,-15.731196
1348,-13.258716
1349,-12.572202
1350,-12.925338
1351,-12.791861
1352,-13.249913
1353,-14.847724
1354,-16.17666
1355,-12.884365
1356,-9.515841
1357,-10.777729
1358,-14.216846
1359,-15.113694
1360,-16.13787
1361,-15.162421
1362,-14.895715
1363,-15.768546
1364,-9.762572
1365,-8.8429165
1366,-10.966699
1367,-12.851716
1368,-13.959698
1369,-15.631658
1370,-14.789744
1371,-12.4132
1372,-11.985903
1373,-11.5940075
1374,-12.644359
1375,-12.741712
1376,-10.4201975
1377,-12.512537
1378,-12.114835
1379,-12.388641
1380,-12.41643
1381,-11.595925
1382,-13.158945
1383,-12.620024
1384,-13.600912
1385,-12.031857
1386,-10.037524
1387,-11.0719185
1388,-13.264117
1389,-12.348957
1390,-13.446391
1391,-10.560794
1392,-10.196622
1393,-12.57097
1394,-11.056407
1395,-12.037249
