,distance_stream_downstream
1401,10973.874
1402,10812.605
1403,10973.874
1404,11135.144
1405,15621.275
1406,14331.318
1407,13928.211
1408,13766.942
1409,13605.674
1410,13444.404
1411,13393.78
1412,13444.404
1413,13605.674
1414,14008.78
1415,14170.056
1416,14331.331
1417,14492.6
1418,14895.706
1419,15057.001
1420,15218.27
1421,15379.539
1422,20259.81
1423,20098.555
1424,20047.934
1425,19776.041
1426,19372.99
1427,19211.72
1428,19050.451
1429,18889.184
1430,18727.9
1431,18324.795
1432,18163.525
1433,18112.902
1434,18163.525
1435,18112.902
1436,18163.525
1437,20027.404
1438,19866.137
1439,19704.873
1440,19191.121
1441,19140.498
1442,19191.121
1443,19352.396
1444,19513.688
1445,20350.06
1446,20188.791
1447,20138.168
1448,20188.791
1449,20239.42
1450,21177.027
1451,21126.4
1452,21177.027
1453,21126.404
1454,21177.027
1455,21338.297
1456,21499.566
1457,21902.672
1458,22063.941
1459,22467.055
1460,22628.33
1461,22789.598
1462,23515.25
1463,23353.98
1464,23515.25
1465,23918.363
1466,24079.633
1467,24482.738
1468,24754.643
1469,24805.264
1470,24966.527
1471,25127.79
1472,25289.053
1473,25450.316
1474,25611.584
1475,26014.697
1476,26175.973
1477,26447.898
1478,26498.523
1479,26659.797
1480,26821.066
1481,26982.336
1482,27385.45
1483,27899.213
1484,27949.838
1485,28756.23
1486,28594.963
1487,28544.338
1488,28594.963
1489,28756.236
1490,29028.162
1491,29078.787
1492,29240.057
1493,29643.162
1494,29804.426
1495,29965.695
1496,30368.8
1497,30882.549
1498,31043.807
1499,31094.426
1500,31820.045
1501,31769.424
1502,31820.045
1503,31981.309
1504,32142.57
1505,32868.195
1506,32817.574
1507,32868.195
1508,33029.46
1509,33190.723
1510,33351.992
1511,33513.26
1512,33916.367
1513,34752.633
1514,34702.01
1515,34752.633
1516,34913.895
1517,11901.006
1518,11739.725
1519,11255.846
1520,11417.12
1521,11255.846
1522,11769.604
1523,10368.841
1524,10207.544
1525,10156.916
1526,10207.544
1527,10368.829
1528,10419.456
1529,10580.731
1530,10983.839
1531,10156.892
1532,10207.519
1533,10368.8
1534,10670.605
1535,10046.213
1536,9995.582
1537,9944.954
1538,9995.582
1539,10156.856
1540,11023.087
1541,10157.123
1542,10106.495
1543,10157.123
1544,11196.03
1545,11034.762
1546,10631.654
1547,10470.379
1548,10419.751
1549,10470.379
1550,10631.666
1551,10581.038
1552,11094.797
1553,13535.419
1554,13374.138
1555,13323.51
1556,14049.134
1557,13887.864
1558,13726.596
1559,13323.488
1560,13162.214
1561,13111.586
1562,13162.214
