,pga_contour_raster_cropped
779,0.1
780,0.1
781,0.1
782,0.1
783,0.1
784,0.09737498
785,0.09737498
786,0.09737498
787,0.09737498
788,0.09737498
789,0.09354497
790,0.09354497
791,0.09354497
792,0.09354497
793,0.09354497
794,0.0903656
795,0.0903656
796,0.0903656
797,0.0903656
798,0.0903656
799,0.08682007
800,0.08682007
801,0.08682007
802,0.08682007
803,0.08352196
804,0.08352196
805,0.08352196
806,0.08352196
807,0.08352196
808,0.081085905
809,0.081085905
810,0.081085905
811,0.081085905
812,0.081085905
813,0.08
814,0.08
815,0.08
816,0.08
817,0.08
818,0.08
819,0.08
820,0.08
821,0.08
822,0.08
823,0.08
824,0.08
825,0.08
826,0.08
827,0.0790276
828,0.0790276
829,0.0790276
830,0.0790276
831,0.08
832,0.08
833,0.08
834,0.08
835,0.08
836,0.08
837,0.08
838,0.08
839,0.08
840,0.08
841,0.08
842,0.08
843,0.08
844,0.08
845,0.08
846,0.08770772
847,0.08770772
848,0.08770772
849,0.08770772
850,0.09384264
851,0.09384264
852,0.09384264
853,0.09384264
854,0.09384264
855,0.1
856,0.1
857,0.1
858,0.1
859,0.1
860,0.1
861,0.1
862,0.1
863,0.1
864,0.1
865,0.1
866,0.1
867,0.1
868,0.1
869,0.10118771
870,0.10118771
871,0.10118771
872,0.10118771
873,0.10118771
874,0.10988636
875,0.10988636
876,0.10988636
877,0.10988636
878,0.10988636
879,0.1167101
880,0.1167101
881,0.1167101
882,0.1167101
883,0.1167101
884,0.11853974
885,0.11853974
886,0.11853974
887,0.11853974
888,0.11853974
889,0.11814816
890,0.11814816
891,0.11814816
892,0.11814816
893,0.12
894,0.12
895,0.12
896,0.12
897,0.12
898,0.12
899,0.12
900,0.12
901,0.12
902,0.12
903,0.12582976
904,0.12582976
905,0.12582976
906,0.12582976
907,0.12582976
908,0.1343877
909,0.1343877
910,0.1343877
911,0.1343877
912,0.1343877
913,0.13190271
914,0.13190271
915,0.13190271
916,0.13190271
917,0.1321423
918,0.1321423
919,0.1321423
920,0.1321423
921,0.1321423
922,0.13893764
923,0.13893764
924,0.13893764
925,0.13893764
926,0.13893764
927,0.14
928,0.14
929,0.14
930,0.14
931,0.14
932,0.14
933,0.14
934,0.14
935,0.14
936,0.14
937,0.15166941
938,0.15166941
939,0.15166941
940,0.15166941
941,0.15026952
942,0.15026952
943,0.15026952
944,0.15026952
945,0.15026952
946,0.15488672
947,0.15488672
948,0.15488672
949,0.15488672
950,0.15488672
951,0.15390778
952,0.15390778
953,0.15390778
954,0.15390778
955,0.15390778
956,0.14842325
957,0.14842325
958,0.14842325
959,0.14842325
960,0.14842325
961,0.14782351
962,0.14782351
963,0.14782351
964,0.14782351
965,0.14858773
966,0.14858773
967,0.14858773
968,0.14858773
969,0.14858773
970,0.14800613
971,0.14800613
972,0.14800613
973,0.14800613
974,0.14800613
975,0.14313991
976,0.14313991
977,0.14313991
978,0.14313991
979,0.14313991
980,0.13986005
981,0.13986005
982,0.13986005
983,0.13986005
984,0.13986005
985,0.14087585
986,0.14087585
987,0.14087585
988,0.14087585
989,0.14207488
990,0.14207488
991,0.14207488
992,0.14207488
993,0.14207488
994,0.13998894
995,0.13998894
996,0.13998894
997,0.13998894
998,0.13998894
999,0.1394162
1000,0.1394162
1001,0.1394162
1002,0.1394162
1003,0.1394162
1004,0.13741349
1005,0.13741349
1006,0.13741349
1007,0.13741349
1008,0.13741349
1009,0.1328229
1010,0.1328229
1011,0.1328229
1012,0.1328229
1013,0.1321414
1014,0.1321414
1015,0.1321414
1016,0.1321414
1017,0.1321414
1018,0.12811956
1019,0.12811956
1020,0.12811956
1021,0.12811956
1022,0.12811956
1023,0.12444898
1024,0.12444898
1025,0.12444898
1026,0.12444898
1027,0.12444898
1028,0.12048557
1029,0.12048557
1030,0.12048557
1031,0.12048557
1032,0.12048557
1033,0.1185626
1034,0.1185626
1035,0.1185626
1036,0.1185626
1037,0.11759311
1038,0.11759311
1039,0.11759311
1040,0.11759311
1041,0.11759311
1042,0.11651504
1043,0.11651504
1044,0.11651504
1045,0.11651504
1046,0.11651504
1047,0.11084757
1048,0.11084757
1049,0.11084757
1050,0.11084757
1051,0.11084757
1052,0.1036819
1053,0.1036819
1054,0.1036819
1055,0.1036819
1056,0.1036819
1057,0.1
1058,0.1
1059,0.1
1060,0.1
1061,0.1
1062,0.1
1063,0.1
1064,0.1
1065,0.1
1066,0.098162465
1067,0.098162465
1068,0.098162465
1069,0.098162465
1070,0.098162465
1071,0.09393019
1072,0.09393019
1073,0.09393019
1074,0.09393019
1075,0.09393019
1076,0.088815264
1077,0.088815264
1078,0.088815264
1079,0.088815264
1080,0.08681308
1081,0.08681308
1082,0.08681308
1083,0.08681308
1084,0.08681308
1085,0.08429712
1086,0.08429712
1087,0.08429712
1088,0.08429712
1089,0.08429712
1090,0.081781164
1091,0.081781164
1092,0.081781164
1093,0.081781164
1094,0.081781164
1095,0.08
1096,0.08
1097,0.08
1098,0.08
1099,0.08
1100,0.08
1101,0.08
1102,0.08
1103,0.08
1104,0.08
1105,0.08
1106,0.08
1107,0.08
1108,0.08
1109,0.08
1110,0.08
1111,0.08
1112,0.08
1113,0.08
1114,0.08
1115,0.08
1116,0.08
1117,0.08
1118,0.08
1119,0.08
1120,0.08
1121,0.08
1122,0.08
1123,0.08770772
1124,0.08770772
1125,0.08770772
1126,0.08770772
1127,0.09384264
1128,0.09384264
1129,0.09384264
1130,0.09384264
1131,0.09384264
1132,0.1
1133,0.1
1134,0.1
1135,0.1
1136,0.1
1137,0.1
1138,0.1
1139,0.1
1140,0.1
1141,0.1
1142,0.1
1143,0.1
1144,0.1
1145,0.1
1146,0.10118771
1147,0.10118771
1148,0.10118771
1149,0.10118771
1150,0.10118771
1151,0.10988636
1152,0.10988636
1153,0.10988636
1154,0.10988636
1155,0.10988636
1156,0.1167101
1157,0.1167101
1158,0.1167101
1159,0.1167101
1160,0.1167101
1161,0.11853974
1162,0.11853974
1163,0.11853974
1164,0.11853974
1165,0.11853974
1166,0.11814816
1167,0.11814816
1168,0.11814816
1169,0.11814816
1170,0.12
1171,0.12
1172,0.12
1173,0.12
1174,0.12
1175,0.12
1176,0.12
1177,0.12
1178,0.12
1179,0.12
1180,0.12582976
1181,0.12582976
1182,0.12582976
1183,0.12582976
1184,0.12582976
1185,0.1343877
1186,0.1343877
1187,0.1343877
1188,0.1343877
1189,0.1343877
1190,0.13190271
1191,0.13190271
1192,0.13190271
1193,0.13190271
1194,0.1321423
1195,0.1321423
1196,0.1321423
1197,0.1321423
1198,0.1321423
1199,0.13893764
1200,0.13893764
1201,0.13893764
1202,0.13893764
1203,0.13893764
1204,0.14
1205,0.14
1206,0.14
1207,0.14
1208,0.14
1209,0.14
1210,0.14
1211,0.14
1212,0.14
1213,0.14
1214,0.15166941
1215,0.15166941
1216,0.15166941
1217,0.15166941
1218,0.15026952
1219,0.15026952
1220,0.15026952
1221,0.15026952
1222,0.15026952
1223,0.15488672
1224,0.15488672
1225,0.15488672
1226,0.15488672
1227,0.15488672
1228,0.15390778
1229,0.15390778
1230,0.15390778
1231,0.15390778
1232,0.15390778
1233,0.14842325
1234,0.14842325
1235,0.14842325
1236,0.14842325
1237,0.14842325
1238,0.14782351
1239,0.14782351
1240,0.14782351
1241,0.14782351
1242,0.14858773
1243,0.14858773
1244,0.14858773
1245,0.14858773
1246,0.14858773
1247,0.14800613
1248,0.14800613
1249,0.14800613
1250,0.14800613
1251,0.14800613
1252,0.14313991
1253,0.14313991
1254,0.14313991
1255,0.14313991
1256,0.14313991
1257,0.13986005
1258,0.13986005
1259,0.13986005
1260,0.13986005
1261,0.13986005
1262,0.14087585
1263,0.14087585
1264,0.14087585
1265,0.14087585
1266,0.14207488
1267,0.14207488
1268,0.14207488
1269,0.14207488
1270,0.14207488
1271,0.13998894
1272,0.13998894
1273,0.13998894
1274,0.13998894
1275,0.13998894
1276,0.1394162
1277,0.1394162
1278,0.1394162
1279,0.1394162
1280,0.1394162
1281,0.13741349
1282,0.13741349
1283,0.13741349
1284,0.13741349
1285,0.13741349
1286,0.1328229
1287,0.1328229
1288,0.1328229
1289,0.1328229
1290,0.1321414
1291,0.1321414
1292,0.1321414
1293,0.1321414
1294,0.1321414
1295,0.12811956
1296,0.12811956
1297,0.12811956
1298,0.12811956
1299,0.12811956
1300,0.12444898
1301,0.12444898
1302,0.12444898
1303,0.12444898
1304,0.12444898
1305,0.12048557
1306,0.12048557
1307,0.12048557
1308,0.12048557
1309,0.12048557
1310,0.1185626
1311,0.1185626
1312,0.1185626
1313,0.1185626
1314,0.11759311
1315,0.11759311
1316,0.11759311
1317,0.11759311
1318,0.11759311
1319,0.11651504
1320,0.11651504
1321,0.11651504
1322,0.11651504
1323,0.11651504
1324,0.11084757
1325,0.11084757
1326,0.11084757
1327,0.11084757
1328,0.11084757
1329,0.1036819
1330,0.1036819
1331,0.1036819
1332,0.1036819
1333,0.1036819
1334,0.1
1335,0.1
1336,0.1
1337,0.1
1338,0.1
1339,0.1
1340,0.1
1341,0.1
1342,0.1
1343,0.098162465
1344,0.098162465
1345,0.098162465
1346,0.098162465
1347,0.098162465
1348,0.09393019
1349,0.09393019
1350,0.09393019
1351,0.09393019
1352,0.09393019
1353,0.088815264
1354,0.088815264
1355,0.088815264
1356,0.088815264
1357,0.08681308
1358,0.08681308
1359,0.08681308
1360,0.08681308
1361,0.08681308
1362,0.08429712
1363,0.08429712
1364,0.08429712
1365,0.08429712
1366,0.08429712
1367,0.081781164
1368,0.081781164
1369,0.081781164
1370,0.081781164
1371,0.081781164
1372,0.08
1373,0.08
1374,0.08
1375,0.08
1376,0.08
1377,0.08
1378,0.08
1379,0.08
1380,0.08
1381,0.08
1382,0.08
1383,0.08
1384,0.08
1385,0.08
1386,0.08
1387,0.08
1388,0.08
1389,0.08
1390,0.08
1391,0.08
1392,0.08
1393,0.08
1394,0.08
1395,0.08
1396,0.08
1397,0.08
1398,0.08
1399,0.08
1400,0.08770772
1401,0.08770772
1402,0.08770772
1403,0.08770772
1404,0.09384264
1405,0.09384264
1406,0.09384264
1407,0.09384264
1408,0.09384264
1409,0.1
1410,0.1
1411,0.1
1412,0.1
1413,0.1
1414,0.1
1415,0.1
1416,0.1
1417,0.1
1418,0.1
1419,0.1
1420,0.1
1421,0.1
1422,0.1
1423,0.10118771
1424,0.10118771
1425,0.10118771
1426,0.10118771
1427,0.10118771
1428,0.10988636
1429,0.10988636
1430,0.10988636
1431,0.10988636
1432,0.10988636
1433,0.1167101
1434,0.1167101
1435,0.1167101
1436,0.1167101
1437,0.1167101
1438,0.11853974
1439,0.11853974
1440,0.11853974
1441,0.11853974
1442,0.11853974
1443,0.11814816
1444,0.11814816
1445,0.11814816
1446,0.11814816
1447,0.12
1448,0.12
1449,0.12
1450,0.12
1451,0.12
1452,0.12
1453,0.12
1454,0.12
1455,0.12
1456,0.12
1457,0.12582976
1458,0.12582976
1459,0.12582976
1460,0.12582976
1461,0.12582976
1462,0.1343877
1463,0.1343877
1464,0.1343877
1465,0.1343877
1466,0.1343877
1467,0.13190271
1468,0.13190271
1469,0.13190271
1470,0.13190271
1471,0.1321423
1472,0.1321423
1473,0.1321423
1474,0.1321423
1475,0.1321423
1476,0.13893764
1477,0.13893764
1478,0.13893764
1479,0.13893764
1480,0.13893764
1481,0.14
1482,0.14
1483,0.14
1484,0.14
1485,0.14
1486,0.14
1487,0.14
1488,0.14
1489,0.14
1490,0.14
1491,0.15166941
1492,0.15166941
1493,0.15166941
1494,0.15166941
1495,0.15026952
1496,0.15026952
1497,0.15026952
1498,0.15026952
1499,0.15026952
1500,0.15488672
1501,0.15488672
1502,0.15488672
1503,0.15488672
1504,0.15488672
1505,0.15390778
1506,0.15390778
1507,0.15390778
1508,0.15390778
1509,0.15390778
1510,0.14842325
1511,0.14842325
1512,0.14842325
1513,0.14842325
1514,0.14842325
1515,0.14782351
1516,0.14782351
1517,0.14782351
1518,0.14782351
1519,0.14858773
1520,0.14858773
1521,0.14858773
1522,0.14858773
1523,0.14858773
1524,0.14800613
1525,0.14800613
1526,0.14800613
1527,0.14800613
1528,0.14800613
1529,0.14313991
1530,0.14313991
1531,0.14313991
1532,0.14313991
1533,0.14313991
1534,0.13986005
1535,0.13986005
1536,0.13986005
1537,0.13986005
1538,0.13986005
1539,0.14087585
1540,0.14087585
1541,0.14087585
1542,0.14087585
1543,0.14207488
1544,0.14207488
1545,0.14207488
1546,0.14207488
1547,0.14207488
1548,0.13998894
1549,0.13998894
1550,0.13998894
1551,0.13998894
1552,0.13998894
1553,0.1394162
1554,0.1394162
1555,0.1394162
1556,0.1394162
1557,0.1394162
1558,0.13741349
1559,0.13741349
1560,0.13741349
1561,0.13741349
1562,0.13741349
1563,0.1328229
1564,0.1328229
1565,0.1328229
1566,0.1328229
1567,0.1321414
1568,0.1321414
1569,0.1321414
1570,0.1321414
1571,0.1321414
1572,0.12811956
1573,0.12811956
1574,0.12811956
1575,0.12811956
1576,0.12811956
1577,0.12444898
1578,0.12444898
1579,0.12444898
1580,0.12444898
1581,0.12444898
1582,0.12048557
1583,0.12048557
1584,0.12048557
1585,0.12048557
1586,0.12048557
1587,0.1185626
1588,0.1185626
1589,0.1185626
1590,0.1185626
1591,0.11759311
1592,0.11759311
1593,0.11759311
1594,0.11759311
1595,0.11759311
1596,0.11651504
1597,0.11651504
1598,0.11651504
1599,0.11651504
1600,0.11651504
1601,0.11084757
1602,0.11084757
1603,0.11084757
1604,0.11084757
1605,0.11084757
1606,0.1036819
1607,0.1036819
1608,0.1036819
1609,0.1036819
1610,0.1036819
1611,0.1
1612,0.1
1613,0.1
1614,0.1
1615,0.1
1616,0.1
1617,0.1
1618,0.1
1619,0.1
1620,0.098162465
1621,0.098162465
1622,0.098162465
1623,0.098162465
1624,0.098162465
1625,0.09393019
1626,0.09393019
1627,0.09393019
