,slope
1132,0.27060446
1133,0.20412403
1134,0.25689712
1135,0.12371296
1136,0.2735637
1137,0.10824246
1138,0.13678263
1139,0.102866724
1140,0.05412128
1141,0.18811399
1142,0.17765328
1143,0.17765328
1144,0.22100556
1145,0.7133124
1146,1.0054201
1147,1.0905275
1148,1.0663397
1149,1.2689482
1150,1.2266567
1151,1.1273566
1152,1.1537771
1153,0.93200856
1154,0.52763844
1155,0.32444105
1156,0.4610329
1157,0.2406704
1158,0.36064714
1159,0.40090936
1160,0.06185655
1161,0.05412128
1162,0.10824246
1163,0.24742475
1164,0.55844533
1165,0.4826673
1166,0.2818733
1167,0.18556906
1168,0.15229923
1169,0.13678263
1170,0.05412128
1171,0.18811399
1172,0.0
1173,0.16236344
1174,0.08882685
1175,0.27060446
1176,0.10824246
1177,0.18811399
1178,4.136712
1179,3.0227544
1180,2.4554858
1181,2.134365
1182,0.25420904
1183,2.7072792
1184,6.3984118
1185,0.7749316
1186,4.413669
1187,3.98235
1188,3.8086877
1189,1.0765103
1190,0.6248097
1191,2.0864942
1192,4.0804625
1193,6.7305884
1194,4.2447553
1195,1.3057854
1196,3.9192574
1197,4.7332582
1198,2.85718
1199,1.6569748
1200,2.9513023
1201,6.560945
1202,7.7075553
1203,5.089163
1204,9.41595
1205,4.196522
1206,0.50274837
1207,2.7486606
1208,4.7993035
1209,3.872866
1210,3.6373978
1211,5.495702
1212,1.8317041
1213,4.243778
1214,1.7105262
1215,6.0695515
1216,4.21475
1217,1.8717792
1218,0.6725765
1219,0.3045925
1220,0.2818731
1221,0.32471612
1222,0.31241414
1223,0.22420132
1224,1.4422504
1225,2.1742516
1226,2.4847553
1227,2.8162806
1228,4.4850364
1229,5.666432
1230,3.407356
1231,1.3293718
1232,3.4246178
1233,4.7046466
1234,3.9647057
1235,1.5802101
1236,1.3527468
1237,0.8016215
1238,0.8967366
1239,0.48131692
1240,1.6029292
1241,0.97448885
1242,1.4609215
1243,4.370135
1244,4.161026
1245,1.3890034
1246,3.0209014
1247,4.2607665
1248,4.3478117
1249,3.06795
1250,0.40450653
1251,1.5249041
1252,2.3439252
1253,4.193043
1254,4.2353015
1255,4.6189814
1256,2.6914191
1257,1.2133584
1258,1.151922
1259,1.4726167
1260,1.2445626
1261,0.36362472
1262,0.34721607
1263,0.24066271
1264,0.15229732
1265,0.15229732
1266,0.08882351
1267,0.10286604
1268,0.21647869
1269,0.08882351
1270,0.21647869
1271,0.08882351
1272,0.360634
1273,0.27355397
1274,0.06185657
1275,0.3552898
1276,0.22420132
1277,0.18810768
1278,0.054119915
1279,0.054119915
1280,0.10286604
1281,0.21647869
1282,0.20412081
1283,0.21647869
1284,0.26646885
1285,0.31241414
1286,0.0
1287,0.13677776
1288,0.15229732
1289,0.25689253
