,slope
1047,2.0419679
1048,1.1189162
1049,0.2542244
1050,0.088843554
1051,0.27063856
1052,1.4225508
1053,1.2819221
1054,0.87046885
1055,1.83664
1056,2.430384
1057,2.5495355
1058,2.9534988
1059,3.4068878
1060,3.4280074
1061,3.7349908
1062,4.3588605
1063,3.6002724
1064,2.1124089
1065,3.169009
1066,2.4412625
1067,2.554869
1068,2.0660756
1069,3.0054893
1070,5.7695155
1071,5.316204
1072,5.6526213
1073,5.668768
1074,3.6173143
1075,1.1313043
1076,0.8862182
1077,0.8234748
1078,0.7236862
1079,2.0759256
1080,3.3093827
1081,3.0806882
1082,3.377237
1083,0.75774944
1084,4.6357727
1085,3.6563177
1086,2.7000418
1087,1.8318658
1088,0.16238391
1089,1.7883743
1090,1.9113666
1091,1.3732575
1092,1.1036651
1093,4.2925587
1094,4.018224
1095,3.1214287
1096,4.5320926
1097,2.281342
1098,0.9402488
1099,0.5953878
1100,1.3910795
1101,9.56326
1102,19.404503
1103,19.327314
1104,16.059517
1105,11.172264
1106,10.981961
1107,14.07966
1108,13.698951
1109,11.946184
1110,9.438515
1111,10.754649
1112,9.751477
1113,6.467923
1114,11.03061
1115,11.859564
1116,9.191026
1117,8.755098
1118,9.275819
1119,5.6709065
1120,1.0659604
1121,4.8671575
1122,5.200568
1123,4.411923
1124,2.5801346
1125,6.2554245
1126,5.3289447
1127,7.3230457
1128,1.1695745
1129,9.33341
1130,4.153885
1131,4.005377
1132,2.663315
1133,0.7121705
1134,6.966387
1135,0.76419795
1136,10.94458
1137,7.875157
1138,3.5502496
1139,1.3353263
1140,0.324757
1141,0.24070115
1142,4.535019
1143,4.407943
1144,2.7589207
1145,5.2711654
1146,3.2278078
1147,4.515467
1148,4.545666
1149,5.7641106
1150,8.035337
1151,3.5771096
1152,1.6031653
1153,5.0027313
1154,2.8766754
1155,4.071019
1156,0.96299386
1157,3.7872982
1158,4.256932
1159,0.9185871
1160,1.8604805
1161,1.9791579
1162,4.936735
1163,5.8374414
1164,3.3298266
1165,1.0079752
1166,0.08884021
1167,1.4917219
1168,4.0919423
1169,5.035182
1170,4.534555
1171,4.3139935
1172,6.111685
1173,1.1729418
1174,9.0678625
1175,5.3188634
1176,1.8271596
1177,5.6333838
1178,2.0098588
1179,4.738139
1180,2.002729
1181,4.196224
1182,3.8981414
1183,2.4481628
1184,4.570863
1185,3.2918868
1186,6.243377
1187,7.877838
1188,4.4157524
1189,3.0278647
1190,1.1447054
1191,0.67374647
1192,0.5082605
1193,0.22100659
1194,0.3636611
1195,0.99426
1196,0.86428773
